Produto Planilha,Produto ERP,ID,Ocorrências,Match
"Migração de Dados (Produtos Diversos)","Migração de Dados (Produtos Diversos)",5250006,3278,exato
"Ziggy (Migração de Dados)","Ziggy (Migração de Dados)",4050003,2668,exato
"Coca Cola 2l","Coca Cola 2l",570001,2349,exato
"Original 269ml","Original 269ml",540013,2075,exato
"Original 269ml 8 Unidades","Original 269ml 8 Unidades",540014,1827,exato
"Coko Coco 200ml","Coko Coco 200ml",690004,1801,exato
"Hot Coco Unidade","Hot Coco Unidade",1560005,1736,exato
"Red Bull 250ml","Red Bull 250ml",1080001,1723,exato
"Sukita 2l (Migração de Dados)","Sukita 2l (Migração de Dados)",4140013,1606,exato
"Skol 269ml","Skol 269ml",1680003,1595,exato
"Rothmans Blue Global","Rothmans Blue Global",1410005,1583,exato
"Rothmans / LM Unidade","Rothmans / LM Unidade",2430001,1547,exato
"Skol 269ml 15 Unidades","Skol 269ml 15 Unidades",1680005,1523,exato
"Heineken 330ml","Heineken 330ml",510007,1509,exato
"Moema 350ml 12 Unidades","Moema 350ml 12 Unidades",1650006,1509,exato
"Kit Kat Ao Leite 41,5gr","Kit Kat Ao Leite 41,5gr",1830018,1364,exato
"Itaipava 269ml","Itaipava 269ml",390001,1230,exato
"Stan Unidade","Stan Unidade",1860002,1216,exato
"Coca Cola 350ml","Coca Cola 350ml",600001,1203,exato
"Trident Menta 8gr","Trident Menta 8gr",1830009,1190,exato
"Amstel 269ml 12 Unidades","Amstel 269ml 12 Unidades",450002,1161,exato
"Nestlé (Migração de Dados)","Nestlé (Migração de Dados)",4170002,1151,exato
"Monster 473ml (Migração de Dados)","Monster 473ml (Migração de Dados)",4230001,1147,exato
"Lacta (Migração de Dados)","Lacta (Migração de Dados)",4170001,1130,exato
"Pitú 350ml","Pitú 350ml",1620002,1118,exato
"Frescca 510ml","Frescca 510ml",720002,1117,exato
"Gelo 5Kg","Gelo 5Kg",2490009,1082,exato
"Fofura Cebola 60gr","Fofura Cebola 60gr",2550005,1073,exato
"Guaraná Antarctica 2l","Guaraná Antarctica 2l",660003,1063,exato
"Zomo Natural Perfect","Zomo Natural Perfect",1860010,1030,exato
"Dose Chanceler 700ml","Dose Chanceler 700ml",690014,1014,exato
"Cantinho do Vale 880ml","Cantinho do Vale 880ml",1770003,1008,exato
"Pop!","Pop!",2040001,962,exato
"Fanta 2l (Migração de Dados)","Fanta 2l (Migração de Dados)",4140010,957,exato
"Gudang Unidade","Gudang Unidade",2430003,949,exato
